Projections	Frames	Exposure(ms)
512	1	354.00
Projection	Angle(deg)	Time(s)
216	151.7329	  80.007385499999998
217	152.4478	  80.361400700000004
218	153.1575	  80.715453999999994
219	153.8479	  81.069424100000006
220	154.5632	  81.423453499999994
221	155.2485	  81.777421399999994
222	155.9639	  82.131469100000004
223	156.6733	  82.485477299999999
224	157.3640	  82.839526800000002
225	158.0791	  83.193614999999994
226	158.7639	  83.547519899999998
227	159.4790	  83.901563600000003
228	160.1890	  84.255627200000006
229	160.8794	  84.609598199999994
230	161.5947	          84.9635885
231	162.2798	  85.317608800000002
232	162.9946	  85.671650799999995
233	163.7043	  86.025662499999996
234	164.3950	  86.379784900000004
235	165.1099	  86.733721500000001
236	165.7952	          87.0877196
237	166.5105	  87.441771299999999
238	167.2200	  87.795754000000002
239	167.9106	  88.149804099999997
240	168.6257	  88.503794200000002
241	169.3110	          88.8578227
242	170.0256	  89.211813199999995
243	170.7366	  89.565822400000002
244	171.4263	  89.919952100000003
245	172.1416	  90.273881500000002
246	172.8267	  90.627967999999996
247	173.5417	  90.981871299999995
248	174.2568	  91.335883600000003
249	174.9419	  91.689931099999995
250	175.6570	  92.043948099999994
251	176.3420	  92.397945300000003
252	177.0569	  92.752011300000007
253	177.7722	  93.106092500000003
254	178.4575	  93.459990000000005
255	179.1726	  93.814085199999994
256	179.8577	          94.1679934
257	180.5728	  94.522050699999994
258	181.2878	  94.876134300000004
259	181.9729	  95.230008299999994
260	182.6882	  95.584080099999994
261	183.3735	  95.938145300000002
262	184.0884	  96.292119299999996
263	184.8035	  96.646142699999999
264	185.4888	  97.000175499999997
265	186.2041	  97.354234199999993
266	186.9143	  97.708289800000003
267	187.6040	  98.062357399999996
268	188.3196	  98.416269400000004
269	189.0042	  98.770277199999995
270	189.7195	  99.124217599999994
271	190.4050	  99.478265399999998
272	191.1196	  99.832377300000005
273	191.8347	  100.18632580000001
274	192.5193	         100.5403544
275	193.2341	  100.89441410000001
276	193.9456	         101.2483295
277	194.6348	         101.6023363
278	195.3499	         101.9564207
279	196.0356	  102.31035180000001
280	196.7502	         102.6645542
281	197.4612	  103.01843359999999
282	198.1501	         103.3724239
283	198.8655	         103.7264907
284	199.5505	          104.080516
285	200.2659	         104.4344919
286	200.9768	         104.7885411
287	201.6660	  105.14253530000001
288	202.3811	         105.4965959
289	203.0662	  105.85060970000001
290	203.7815	          106.204533
291	204.4922	  106.55858240000001
292	205.1814	  106.91260699999999
293	205.8965	  107.26669769999999
294	206.5815	         107.6206054
295	207.2964	  107.97470920000001
296	208.0081	         108.3287041
297	208.6970	  108.68272450000001
298	209.4124	  109.03678619999999
299	210.0974	  109.39075219999999
300	210.8125	  109.74470150000001
301	211.5234	         110.0989814
302	212.2126	         110.4528914
303	212.9277	  110.80679480000001
304	213.6133	  111.16088139999999
305	214.3284	         111.5149198
306	215.0393	         111.8688854
307	215.7285	         112.2228819
308	216.4436	  112.57693879999999
309	217.1287	         112.9308506
310	217.8438	         113.2849105
311	218.5547	         113.6389444
312	219.2439	         113.9929745
313	219.9590	  114.34696700000001
314	220.6440	         114.7010353
315	221.3596	         115.0551105
316	222.0706	  115.40902490000001
317	222.7598	         115.7630793
318	223.4746	         116.1170884
319	224.1597	         116.4710699
320	224.8750	         116.8252107
321	225.5869	         117.1791566
322	226.2751	         117.5331559
323	226.9902	  117.88724430000001
324	227.6755	         118.2411936
325	228.3904	         118.5952145
326	229.1021	          118.949253
327	229.7908	  119.30323540000001
328	230.5061	         119.6572379
329	231.1909	          120.011308
330	231.9060	         120.3652264
331	232.6177	  120.71941169999999
332	233.3064	  121.07343969999999
333	234.0215	         121.4273376
334	234.7065	  121.78140260000001
335	235.4216	  122.13531450000001
336	236.1335	  122.48935760000001
337	236.8220	         122.8434065
338	237.5371	  123.19741380000001
339	238.2224	  123.55150860000001
340	238.9375	         123.9054481
341	239.6489	         124.2594069
342	240.3376	         124.6135214
343	241.0525	         124.9674765
344	241.7380	  125.32161189999999
345	242.4526	         125.6755051
346	243.1646	         126.0294684
347	243.8535	         126.3836464
348	244.5684	         126.7375938
349	245.2537	         127.0916414
350	245.9688	  127.44552779999999
351	246.6838	  127.79966159999999
352	247.3689	  128.15363400000001
353	248.0840	         128.5076602
354	248.7693	  128.86167409999999
355	249.4839	  129.21574200000001
356	250.1992	         129.5697227
357	250.8848	  129.92372320000001
358	251.5999	         130.2778113
359	252.2847	         130.6317195
360	253.0000	  130.98577130000001
361	253.7151	  131.33977379999999
362	254.3999	  131.69378620000001
363	255.1152	  132.04787099999999
364	255.8005	  132.40184379999999
365	256.5154	         132.7558392
366	257.2305	  133.10995869999999
367	257.9160	  133.46381210000001
368	258.6309	  133.81795049999999
369	259.3162	  134.17199350000001
370	260.0310	  134.52588209999999
371	260.7463	  134.87996810000001
372	261.4312	  135.23396980000001
373	262.1465	         135.5880879
374	262.8318	  135.94209280000001
375	263.5466	           136.29602
376	264.2620	  136.65003999999999
377	264.9470	  137.00415380000001
378	265.6621	  137.35812770000001
379	266.3472	         137.7121616
380	267.0623	  138.06613609999999
381	267.7776	         138.4201363
382	268.4624	  138.77410230000001
383	269.1775	  139.12813059999999
384	269.8630	  139.48221179999999
385	270.5779	  139.83622779999999
386	271.2930	  140.19021849999999
387	271.9783	  140.54417549999999
388	272.6934	         140.8982451
389	273.4050	  141.25227039999999
390	274.0935	  141.60624569999999
391	274.8086	         141.9602352
392	275.4937	         142.3142666
393	276.2090	         142.6683161
394	276.9207	  143.02242949999999
395	277.6091	  143.37640390000001
396	278.3245	  143.73036579999999
397	279.0095	         144.0843357
398	279.7249	         144.4384671
399	280.4099	  144.79242719999999
400	281.1248	  145.14649460000001
401	281.8401	  145.50046570000001
402	282.5249	  145.85441979999999
403	283.2400	  146.20850369999999
404	283.9524	  146.56248239999999
405	284.6404	  146.91657979999999
406	285.3552	  147.27054219999999
407	286.0408	         147.6244796
408	286.7559	         147.9786896
409	287.4683	  148.33260039999999
410	288.1560	         148.6867124
411	288.8711	  149.04065800000001
412	289.5562	  149.39463789999999
413	290.2715	  149.74866969999999
414	290.9836	         150.1026837
415	291.6716	         150.4566782
416	292.3867	  150.81074100000001
417	293.0718	  151.16484560000001
418	293.7871	          151.518742
419	294.4995	         151.8727777
420	295.1873	  152.22677289999999
421	295.9026	         152.5807112
422	296.5876	  152.93477730000001
423	297.3025	         153.2888528
424	298.0149	         153.6428319
425	298.7029	  153.99686270000001
426	299.4180	  154.35088590000001
427	300.1033	  154.70496080000001
428	300.8186	  155.05893230000001
429	301.5305	  155.41290910000001
430	302.2185	  155.76694900000001
431	302.9336	         156.1208847
432	303.6189	         156.4749171
433	304.3340	  156.82907499999999
434	305.0459	  157.18302990000001
435	305.7341	         157.5370441
436	306.4492	         157.8910377
437	307.1343	         158.2451293
438	307.8496	          158.599118
439	308.5620	  158.95314379999999
440	309.2495	  159.30714660000001
441	309.9651	  159.66110810000001
442	310.6499	  160.01515979999999
443	311.3650	  160.36919420000001
